K_POINTS automatic
3 3 2 0 0 0
!    total energy              =    -306.86314506 Ry
!    total energy              =    -306.86726339 Ry
!    total energy              =    -306.87117568 Ry
!    total energy              =    -306.87228504 Ry
!    total energy              =    -306.87230249 Ry
!    total energy              =    -306.87230389 Ry
!    total energy              =    -306.87230493 Ry
!    total energy              =    -306.87230661 Ry
!    total energy              =    -306.87165560 Ry
K_POINTS automatic
6 6 4 0 0 0
!    total energy              =    -306.87287401 Ry
!    total energy              =    -306.87654540 Ry
!    total energy              =    -306.87996041 Ry
!    total energy              =    -306.88100094 Ry
!    total energy              =    -306.88104272 Ry
!    total energy              =    -306.88108484 Ry
!    total energy              =    -306.88111522 Ry
!    total energy              =    -306.88112244 Ry
!    total energy              =    -306.88052046 Ry
K_POINTS automatic
9 9 6 0 0 0
!    total energy              =    -306.87249266 Ry
!    total energy              =    -306.87594378 Ry
!    total energy              =    -306.87914044 Ry
!    total energy              =    -306.88009088 Ry
!    total energy              =    -306.88012864 Ry
!    total energy              =    -306.88017214 Ry
!    total energy              =    -306.88020782 Ry
!    total energy              =    -306.88021986 Ry
!    total energy              =    -306.88022021 Ry
!    total energy              =    -306.87962776 Ry
K_POINTS automatic
12 12 8 0 0 0
!    total energy              =    -306.87247729 Ry
!    total energy              =    -306.87593170 Ry
!    total energy              =    -306.87912216 Ry
!    total energy              =    -306.88005276 Ry
!    total energy              =    -306.88008657 Ry
!    total energy              =    -306.88013720 Ry
!    total energy              =    -306.88016976 Ry
!    total energy              =    -306.88017346 Ry
!    total energy              =    -306.87958526 Ry
K_POINTS automatic
15 15 10 0 0 0
!    total energy              =    -306.87247171 Ry
!    total energy              =    -306.87590591 Ry
!    total energy              =    -306.87909235 Ry
!    total energy              =    -306.88003946 Ry
!    total energy              =    -306.88007557 Ry
!    total energy              =    -306.88011732 Ry
!    total energy              =    -306.88015159 Ry
!    total energy              =    -306.88016325 Ry
!    total energy              =    -306.88016364 Ry
!    total energy              =    -306.87957469 Ry
K_POINTS automatic
18 18 12 0 0 0
!    total energy              =    -306.87247002 Ry
!    total energy              =    -306.87590190 Ry
!    total energy              =    -306.87908552 Ry
!    total energy              =    -306.88003688 Ry
!    total energy              =    -306.88007444 Ry
!    total energy              =    -306.88011623 Ry
!    total energy              =    -306.88015114 Ry
!    total energy              =    -306.88016157 Ry
!    total energy              =    -306.88016203 Ry
!    total energy              =    -306.87957357 Ry
K_POINTS automatic
21 21 14 0 0 0
!    total energy              =    -306.87246989 Ry
!    total energy              =    -306.87591892 Ry
!    total energy              =    -306.87910533 Ry
!    total energy              =    -306.88003774 Ry
!    total energy              =    -306.88007373 Ry
!    total energy              =    -306.88011562 Ry
!    total energy              =    -306.88014986 Ry
!    total energy              =    -306.88016151 Ry
!    total energy              =    -306.88016182 Ry
!    total energy              =    -306.87957327 Ry
K_POINTS automatic
24 24 16 0 0 0
!    total energy              =    -306.87246973 Ry
!    total energy              =    -306.87591202 Ry
!    total energy              =    -306.87909538 Ry
!    total energy              =    -306.88003561 Ry
!    total energy              =    -306.88007422 Ry
!    total energy              =    -306.88011674 Ry
!    total energy              =    -306.88015184 Ry
!    total energy              =    -306.88016123 Ry
!    total energy              =    -306.88016169 Ry
!    total energy              =    -306.87957319 Ry
K_POINTS automatic
27 27 18 0 0 0
!    total energy              =    -306.87246963 Ry
!    total energy              =    -306.87590988 Ry
!    total energy              =    -306.87909458 Ry
!    total energy              =    -306.88003664 Ry
!    total energy              =    -306.88007392 Ry
!    total energy              =    -306.88011640 Ry
!    total energy              =    -306.88015106 Ry
!    total energy              =    -306.88016163 Ry
!    total energy              =    -306.88016169 Ry
!    total energy              =    -306.87957291 Ry
K_POINTS automatic
30 30 20 0 0 0
!    total energy              =    -306.87246980 Ry
!    total energy              =    -306.87590132 Ry
!    total energy              =    -306.87908743 Ry
!    total energy              =    -306.88003830 Ry
!    total energy              =    -306.88007367 Ry
!    total energy              =    -306.88011555 Ry
!    total energy              =    -306.88014934 Ry
!    total energy              =    -306.88016144 Ry
!    total energy              =    -306.87957442 Ry
K_POINTS automatic
33 33 22 0 0 0
!    total energy              =    -306.87246954 Ry
!    total energy              =    -306.87591042 Ry
!    total energy              =    -306.87909449 Ry
!    total energy              =    -306.88003563 Ry
!    total energy              =    -306.88007391 Ry
!    total energy              =    -306.88011670 Ry
!    total energy              =    -306.88015166 Ry
!    total energy              =    -306.88016157 Ry
!    total energy              =    -306.88016162 Ry
!    total energy              =    -306.87957304 Ry
K_POINTS automatic
36 36 24 0 0 0
!    total energy              =    -306.87246971 Ry
!    total energy              =    -306.87591154 Ry
!    total energy              =    -306.87909766 Ry
!    total energy              =    -306.88003714 Ry
!    total energy              =    -306.88007354 Ry
!    total energy              =    -306.88011536 Ry
!    total energy              =    -306.88014981 Ry
!    total energy              =    -306.88016136 Ry
!    total energy              =    -306.88016170 Ry
!    total energy              =    -306.87957296 Ry
